model,variant,split,metric,k,value,n_users,n_ratings,seed,run_id,timestamp,history
global_mean,history=1,test,rmse,,1.2074270072195372,200,5081,20260903,20260922T172819,1790078299,1
global_mean,history=1,test,mae,,0.9965886956642441,200,5081,20260903,20260922T172819,1790078299,1
global_mean,history=1,test,precision_at_k,5.0,0.019289340101522848,197,0,20260903,20260922T172819,1790078299,1
global_mean,history=1,test,recall_at_k,5.0,0.006858401649323616,197,0,20260903,20260922T172819,1790078299,1
global_mean,history=1,test,coverage,5.0,0.0038684719535783366,197,0,20260903,20260922T172819,1790078299,1
global_mean,history=1,test,mean_popularity,5.0,103.4507614213198,197,0,20260903,20260922T172819,1790078299,1
global_mean,history=1,test,popularity_percentile,5.0,0.8300239069919764,197,0,20260903,20260922T172819,1790078299,1
global_mean,history=1,test,gini,5.0,0.9967644912239361,197,0,20260903,20260922T172819,1790078299,1
global_mean,history=1,test,precision_at_k,10.0,0.022335025380710662,197,0,20260903,20260922T172819,1790078299,1
global_mean,history=1,test,recall_at_k,10.0,0.02056042989838101,197,0,20260903,20260922T172819,1790078299,1
global_mean,history=1,test,coverage,10.0,0.0070921985815602835,197,0,20260903,20260922T172819,1790078299,1
global_mean,history=1,test,mean_popularity,10.0,114.35736040609137,197,0,20260903,20260922T172819,1790078299,1
global_mean,history=1,test,popularity_percentile,10.0,0.8424663500900605,197,0,20260903,20260922T172819,1790078299,1
global_mean,history=1,test,gini,10.0,0.9935446919786481,197,0,20260903,20260922T172819,1790078299,1
global_mean,history=1,test,precision_at_k,20.0,0.0200507614213198,197,0,20260903,20260922T172819,1790078299,1
global_mean,history=1,test,recall_at_k,20.0,0.036847350796105086,197,0,20260903,20260922T172819,1790078299,1
global_mean,history=1,test,coverage,20.0,0.013539651837524178,197,0,20260903,20260922T172819,1790078299,1
global_mean,history=1,test,mean_popularity,20.0,100.24644670050762,197,0,20260903,20260922T172819,1790078299,1
global_mean,history=1,test,popularity_percentile,20.0,0.8174940232520059,197,0,20260903,20260922T172819,1790078299,1
global_mean,history=1,test,gini,20.0,0.9870982205683577,197,0,20260903,20260922T172819,1790078299,1
user_mean,history=1,test,rmse,,1.1885398340233653,200,5081,20260903,20260922T172819,1790078299,1
user_mean,history=1,test,mae,,0.9788637101984264,200,5081,20260903,20260922T172819,1790078299,1
user_mean,history=1,test,precision_at_k,5.0,0.019289340101522848,197,0,20260903,20260922T172819,1790078299,1
user_mean,history=1,test,recall_at_k,5.0,0.006858401649323616,197,0,20260903,20260922T172819,1790078299,1
user_mean,history=1,test,coverage,5.0,0.0038684719535783366,197,0,20260903,20260922T172819,1790078299,1
user_mean,history=1,test,mean_popularity,5.0,103.4507614213198,197,0,20260903,20260922T172819,1790078299,1
user_mean,history=1,test,popularity_percentile,5.0,0.8300239069919764,197,0,20260903,20260922T172819,1790078299,1
user_mean,history=1,test,gini,5.0,0.9967644912239361,197,0,20260903,20260922T172819,1790078299,1
user_mean,history=1,test,precision_at_k,10.0,0.022335025380710662,197,0,20260903,20260922T172819,1790078299,1
