model,variant,split,metric,k,value,n_users,n_ratings,seed,run_id,timestamp
mf,"learning_rate=0.005,n_factors=8,regularisation=0.005",val,rmse,,0.9841842147860101,943,9988,20260903,20260922T171255,1790077399
mf,"learning_rate=0.005,n_factors=8,regularisation=0.005",val,mae,,0.7771267257893731,943,9988,20260903,20260922T171255,1790077399
mf,"learning_rate=0.005,n_factors=8,regularisation=0.005",val,precision_at_k,5.0,0.028935185185185185,864,0,20260903,20260922T171255,1790077399
mf,"learning_rate=0.005,n_factors=8,regularisation=0.005",val,recall_at_k,5.0,0.023915820736007305,864,0,20260903,20260922T171255,1790077399
mf,"learning_rate=0.005,n_factors=8,regularisation=0.005",val,coverage,5.0,0.07936507936507936,864,0,20260903,20260922T171255,1790077399
mf,"learning_rate=0.005,n_factors=8,regularisation=0.005",val,mean_popularity,5.0,191.08171296296297,864,0,20260903,20260922T171255,1790077399
mf,"learning_rate=0.005,n_factors=8,regularisation=0.005",val,popularity_percentile,5.0,0.9259862228810768,864,0,20260903,20260922T171255,1790077399
mf,"learning_rate=0.005,n_factors=8,regularisation=0.005",val,gini,5.0,0.9844379776601999,864,0,20260903,20260922T171255,1790077399
mf,"learning_rate=0.005,n_factors=8,regularisation=0.005",val,precision_at_k,10.0,0.02534722222222222,864,0,20260903,20260922T171255,1790077399
mf,"learning_rate=0.005,n_factors=8,regularisation=0.005",val,recall_at_k,10.0,0.039474985821881824,864,0,20260903,20260922T171255,1790077399
mf,"learning_rate=0.005,n_factors=8,regularisation=0.005",val,coverage,10.0,0.1180952380952381,864,0,20260903,20260922T171255,1790077399
mf,"learning_rate=0.005,n_factors=8,regularisation=0.005",val,mean_popularity,10.0,185.6960648148148,864,0,20260903,20260922T171255,1790077399
mf,"learning_rate=0.005,n_factors=8,regularisation=0.005",val,popularity_percentile,10.0,0.9220354487269989,864,0,20260903,20260922T171255,1790077399
mf,"learning_rate=0.005,n_factors=8,regularisation=0.005",val,gini,10.0,0.9769209288653733,864,0,20260903,20260922T171255,1790077399
mf,"learning_rate=0.005,n_factors=8,regularisation=0.005",val,precision_at_k,20.0,0.023379629629629632,864,0,20260903,20260922T171255,1790077399
mf,"learning_rate=0.005,n_factors=8,regularisation=0.005",val,recall_at_k,20.0,0.07822890853175306,864,0,20260903,20260922T171255,1790077399
mf,"learning_rate=0.005,n_factors=8,regularisation=0.005",val,coverage,20.0,0.16,864,0,20260903,20260922T171255,1790077399
mf,"learning_rate=0.005,n_factors=8,regularisation=0.005",val,mean_popularity,20.0,173.86875,864,0,20260903,20260922T171255,1790077399
mf,"learning_rate=0.005,n_factors=8,regularisation=0.005",val,popularity_percentile,20.0,0.9097874826462422,864,0,20260903,20260922T171255,1790077399
mf,"learning_rate=0.005,n_factors=8,regularisation=0.005",val,gini,20.0,0.9643926366843033,864,0,20260903,20260922T171255,1790077399
mf,"learning_rate=0.01,n_factors=8,regularisation=0.005",val,rmse,,0.9838559969127215,943,9988,20260903,20260922T171255,1790077415
mf,"learning_rate=0.01,n_factors=8,regularisation=0.005",val,mae,,0.776718657034019,943,9988,20260903,20260922T171255,1790077415
mf,"learning_rate=0.01,n_factors=8,regularisation=0.005",val,precision_at_k,5.0,0.028240740740740743,864,0,20260903,20260922T171255,1790077415
mf,"learning_rate=0.01,n_factors=8,regularisation=0.005",val,recall_at_k,5.0,0.022991420419245876,864,0,20260903,20260922T171255,1790077415
mf,"learning_rate=0.01,n_factors=8,regularisation=0.005",val,coverage,5.0,0.09079365079365079,864,0,20260903,20260922T171255,1790077415
mf,"learning_rate=0.01,n_factors=8,regularisation=0.005",val,mean_popularity,5.0,198.41412037037037,864,0,20260903,20260922T171255,1790077415
mf,"learning_rate=0.01,n_factors=8,regularisation=0.005",val,popularity_percentile,5.0,0.9299287613534754,864,0,20260903,20260922T171255,1790077415
mf,"learning_rate=0.01,n_factors=8,regularisation=0.005",val,gini,5.0,0.9788127572016461,864,0,20260903,20260922T171255,1790077415
mf,"learning_rate=0.01,n_factors=8,regularisation=0.005",val,precision_at_k,10.0,0.02534722222222222,864,0,20260903,20260922T171255,1790077415
mf,"learning_rate=0.01,n_factors=8,regularisation=0.005",val,recall_at_k,10.0,0.04073258554081052,864,0,20260903,20260922T171255,1790077415
mf,"learning_rate=0.01,n_factors=8,regularisation=0.005",val,coverage,10.0,0.13333333333333333,864,0,20260903,20260922T171255,1790077415
mf,"learning_rate=0.01,n_factors=8,regularisation=0.005",val,mean_popularity,10.0,187.34560185185185,864,0,20260903,20260922T171255,1790077415
mf,"learning_rate=0.01,n_factors=8,regularisation=0.005",val,popularity_percentile,10.0,0.9214027718951481,864,0,20260903,20260922T171255,1790077415
mf,"learning_rate=0.01,n_factors=8,regularisation=0.005",val,gini,10.0,0.9702067901234568,864,0,20260903,20260922T171255,1790077415
mf,"learning_rate=0.01,n_factors=8,regularisation=0.005",val,precision_at_k,20.0,0.02291666666666667,864,0,20260903,20260922T171255,1790077415
mf,"learning_rate=0.01,n_factors=8,regularisation=0.005",val,recall_at_k,20.0,0.07408855277309373,864,0,20260903,20260922T171255,1790077415
mf,"learning_rate=0.01,n_factors=8,regularisation=0.005",val,coverage,20.0,0.18222222222222223,864,0,20260903,20260922T171255,1790077415
mf,"learning_rate=0.01,n_factors=8,regularisation=0.005",val,mean_popularity,20.0,174.60306712962964,864,0,20260903,20260922T171255,1790077415
mf,"learning_rate=0.01,n_factors=8,regularisation=0.005",val,popularity_percentile,20.0,0.9087383891594899,864,0,20260903,20260922T171255,1790077415
